id	Adipocyte:mean	Adipocyte:percent_expressed	Endo:mean	Endo:percent_expressed	Erythrocyte:mean	Erythrocyte:percent_expressed	FAP:mean	FAP:percent_expressed	Fibroblast-like:mean	Fibroblast-like:percent_expressed	Lymphocyte:mean	Lymphocyte:percent_expressed	Mast cell:mean	Mast cell:percent_expressed	MuSC:mean	MuSC:percent_expressed	Myeloid cell:mean	Myeloid cell:percent_expressed	Pericyte:mean	Pericyte:percent_expressed	Schwann cell:mean	Schwann cell:percent_expressed	SMC:mean	SMC:percent_expressed	Specialized MF:mean	Specialized MF:percent_expressed	Type I:mean	Type I:percent_expressed	Type II:mean	Type II:percent_expressed
PDE3B	2.931330561390042	86.07068607068608	0.027842166417176864	1.7092177207560166	0.08736363595182245	5.454545454545454	0.022554884268474303	1.5954731109598366	0.020100853979498883	1.611345106070559	0.44264587333461736	21.280405909565737	0.024154078744329354	1.3595166163141994	0.02687697420190141	1.7899084797926623	0.2593017631098106	15.510992993476686	0.02817104268883371	1.8454613653413352	0.1574716991973373	8.30188679245283	0.011777056761883807	0.8780301584271807	0.054107337954058095	3.8833319324199382	0.05400315324094217	4.64119429458281	0.060923677728289834	4.653893949118518
PLIN1	2.2679937616331416	82.01663201663202	0.0028854350429460512	0.18943470960520084	0.0074999998916279184	0.45454545454545453	0.003430479932056551	0.28080326752893126	0.005247497941847079	0.5100660767417597	0.002986121508563175	0.2089240411878824	0	0	0.006403984748912628	0.42925406981452985	0.006863976797927373	0.5073689296931626	0.006112528079806283	0.43510877719429863	0.04245283018867924	2.2641509433962264	0.002710440881745145	0.19087612139721322	0.02687904513878232	2.0635454316214172	0.03362427014717854	3.0054442884241124	0.02649141729403425	2.1630774693086074
ACACB	3.283898133559931	90.74844074844076	0.4405769146877812	26.11185258535325	0.7915909091180021	40	0.17657079637265233	13.444520081688225	0.14286216622858133	10.421577340700955	0.10732427999486213	7.207879420981943	0.18333836813707727	9.516616314199396	0.2866250907647288	18.174455333279337	0.137871466360142	9.833293065957962	0.3174388598877062	18.994748687171793	0.5416603758650006	26.60377358490566	0.20111853393702409	13.113189539988548	1.1252113971106144	54.824745734218716	1.4317813406410724	72.4829404084448	1.4279678809302907	68.5124745660872
EBF1	2.8313097732602435	83.57588357588358	0.5594820675539612	31.859473888147416	0.9159090906381607	42.27272727272727	1.3878050533467567	68.95847515316542	1.1338641365469735	62.023262104408985	0.04369944777356931	3.4621698253991946	0.11028700900401954	7.854984894259818	0.05945168875113783	4.835182635458006	0.08389466076029055	6.668277361681565	1.1896999244325963	55.75393848462116	0.11275471617590706	6.037735849056604	0.7839702221700585	45.63848062607368	0.027614104345840416	2.1770194166596624	0.015222328964026055	1.4362082132387357	0.02197612969243166	1.7889087656529516
SOX5	2.5382432482222756	79.72972972972973	0.11222327465810013	6.165238730787446	0.22618181976405058	12.272727272727273	0.529564329237253	28.654697072838665	0.4588882873964308	24.552726148614706	0.03180868500156236	2.507088494254589	0.02948640507513663	1.9637462235649545	0.12789422511991685	7.791366323803353	0.39471853044046945	20.947088668760568	0.9576579138066477	41.42535633908477	0.3686415095374269	17.735849056603772	0.665275815966066	31.780874212636	0.049401950061611216	4.333025132386316	0.040499223976684214	4.64119429458281	0.05140832179133026	5.008944543828265
AQP7	2.167182952599317	77.13097713097713	0.13191845677027983	8.968011366082576	0.08709090948104858	4.545454545454546	0.006752893111844141	0.6381892443839347	0.01001507014933277	0.8114687584527996	0.014154603742891382	1.1938516639307566	0.024154078654292126	1.5105740181268883	0.011273183745006285	0.8099133392726977	0.018400579881742974	1.5100265764677459	0.028139534823467923	2.1605401350337585	0.06920754695838352	3.9622641509433962	0.11036648210347848	8.55125023859515	0.25340632083492676	15.260149617550642	0.4129989157416993	27.423447392407557	0.027190866947231454	1.7602316022340876
PPARG	2.2738981278857175	75.57172557172557	0.5053446417388213	28.419511775089333	0.8609090913425792	39.09090909090909	0.1212474471699875	8.649591558883595	0.08800455959057245	7.457784303875729	0.033090583380790385	2.2235487240710343	0.01287009078570363	1.2084592145015105	0.017217137718141307	1.4092492103344942	0.3013046623413964	18.482725295965206	0.22202550635155394	13.488372093023257	0.14871698044381051	7.735849056603773	0.09860660428990843	7.558694407329643	0.01390518614629482	1.2776330167269059	0.011445446250270521	1.3918655925898555	0.013316172540813966	1.3669447896325226
TMEM132C	1.9323908519967925	74.01247401247402	0.023331467719818304	1.5843630257889527	0.057363635572520166	4.090909090909091	0.16616448265778686	11.334240980258679	0.05000734185733955	3.6245604544225047	0.012533950213709262	1.0147739143411432	0.0032628400088076867	0.1510574018126888	0.019470316652461104	1.457844010690856	0.018363131140004353	1.6791495530321332	0.021963991073853793	1.485371342835709	0.2414528308049688	13.20754716981132	0.014579118132921183	1.0689062798243938	0.02066529377235944	1.954274186769774	0.026143546916087047	3.021456901436208	0.02354545328828629	2.4075161479741634
GPAM	2.224542623807883	72.97297297297297	0.04265768291151939	3.229000731906832	0.013136363571340388	0.9090909090909091	0.06629594962808086	5.411844792375766	0.0616739439887828	5.815526102245064	0.026316967558067356	1.7907774958961349	0.023987915760800917	1.812688821752266	0.06186199069235541	4.657001700818012	0.03162962074051102	2.5730852863010387	0.04680720176897099	3.4358589647411857	0.044037736136958286	2.4528301886792456	0.0480855123576692	3.8175224279442643	0.04489072865913062	3.542909977305203	0.05490392424992882	4.785307811691672	0.03156563654711576	2.718868207950402
FRMD4A	2.019885655190494	75.15592515592515	0.7351259308647708	40.05683041288156	1.211090907860886	51.81818181818182	0.33607300846039273	23.081177671885637	0.24262452170692136	17.438850032845163	0.07518430071310434	5.118639009103119	0.07383685770621833	5.287009063444108	0.547097269843018	30.363651089333445	0.9267310941347496	47.0645083353467	0.4084036004471761	22.88072018004501	0.477358488541729	22.07547169811321	0.5752853600777249	33.441496468791755	0.054471295293521696	5.043288223921997	0.05958182441379809	6.939620131549774	0.05392795200916297	5.833754386923213
